	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000140983.13	953.655686460554	0.19701725942232	0.127295699439019	1.54771339715762	0.121691315102555	0.313145081797041
ENSG00000140986.7	5.66295578418922	0.108463624588734	0.847799905271386	0.127935405411509	0.898200091794495	NA
ENSG00000140987.19	238.078934996787	-0.177242746965127	0.162324247724946	-1.09190554984404	0.274874618074977	0.526403352843561
ENSG00000140988.15	21153.4437423444	-0.0349981432587582	0.0834898726851943	-0.419190281804856	0.675077073889795	0.848485785975051
ENSG00000140990.14	912.689043893697	0.00890313353925608	0.107660694581737	0.0826962297971872	0.934093082791765	0.9755422609647
ENSG00000140992.18	1369.88746614208	0.0934922911205111	0.125215682114204	0.746650016530999	0.455274848547291	0.695937335002782
ENSG00000140993.10	71.8486905886075	0.331256191340007	0.271438428413783	1.22037322893366	0.222323421124572	0.464580435701623
ENSG00000140995.16	985.775900634444	0.289342085153102	0.118254451659165	2.44677541600759	0.0144140623675694	0.0633866165480439
ENSG00000141002.19	2470.30808403731	-0.11487359437687	0.0860794908873799	-1.33450596875813	0.182038092037237	0.409012992193066
ENSG00000141012.12	623.727480928158	0.155636990915756	0.110892107451214	1.40349926151622	0.160468012037576	0.376880240482357
ENSG00000141013.16	252.52156754367	0.0646168681019683	0.21905451864216	0.294980758682838	0.768008578404619	0.897503284499318
ENSG00000141026.5	249.415961480051	-0.186853964483484	0.151161355834484	-1.23612257545561	0.216413004506491	0.457374337886476
ENSG00000141027.20	2780.4130564864	0.0829717417057278	0.0943877199845753	0.879052293235676	0.379372922855469	0.630566642414649
ENSG00000141028.6	1.23494847876661	0.806913918036058	2.74599840069942	0.293850833208982	0.768871889601924	NA
ENSG00000141030.12	632.609512400072	-0.253090261905516	0.108186634573496	-2.33938566351818	0.0193154828275375	0.0799666723493352
ENSG00000141034.9	522.16026828002	0.270654497012544	0.139538512137309	1.93964012419892	0.0524234409785068	0.171204890970791
ENSG00000141040.14	150.796605686601	-0.23945265524719	0.200138461985011	-1.19643497242986	0.231526860599387	0.475074368321259
ENSG00000141052.17	126.330302503077	0.478267547836009	0.42514240549965	1.12495846485585	0.260606635338882	0.511482667970596
ENSG00000141068.14	511.974817944032	-0.802400687042521	0.204151296027966	-3.9304217149452	8.47970002861797e-05	0.00081054828631145
ENSG00000141076.17	596.989180336535	0.0892382120862283	0.123904405935009	0.720218231247049	0.471390640586253	0.708928819948805
ENSG00000141084.10	529.287505737583	0.00551911485530473	0.1261964836263	0.0437342998529835	0.96511619803472	0.986804556280974
ENSG00000141098.12	297.600162600317	-0.132349747891496	0.181420793950884	-0.729518072373372	0.465684816998943	0.704474104708957
ENSG00000141101.12	675.214553063681	-0.092906142653813	0.113448106397991	-0.818930748195001	0.412825925638287	0.659255822590132
ENSG00000141127.14	173.607460228907	-0.495724469208119	0.231092233590316	-2.14513686378118	0.0319419057894147	0.11676361944629
ENSG00000141179.13	206.093722453986	0.193028290113514	0.175185129908602	1.10185316650004	0.270525512051406	0.522383327794626
ENSG00000141194.6	2.22926232920788	-0.405202805841512	1.53154730062968	-0.264570872655986	0.791340060990133	NA
ENSG00000141198.15	210.611601907463	0.741877417130048	0.18104840670075	4.09767437697631	4.1732177056525e-05	0.000432412539234606
ENSG00000141219.15	469.71956539711	-0.223904627823748	0.130793069896752	-1.71189978185004	0.0869151389028752	0.247433137134515
ENSG00000141232.4	922.417066750459	0.12333709693801	0.0975313996223553	1.26458860854632	0.206018838690641	0.443773628518734
ENSG00000141252.19	1027.64106024147	-0.0429023992218025	0.206449316331782	-0.207810807921759	0.835376693338262	0.930581386388129
ENSG00000141255.12	6.79923940921354	0.498032353363046	1.30253458934961	0.382356336204268	0.702197072979734	NA
ENSG00000141258.12	1615.85339815888	-0.265692686607633	0.108482571534375	-2.44917393503568	0.0143184285409563	0.0630206689122471
ENSG00000141279.15	4874.46523406458	-0.0172551652403224	0.106868557951223	-0.161461570841051	0.8717298762119	0.949698507774542
ENSG00000141294.9	15.9076537837671	0.295888611647042	0.54296380703665	0.544950893249999	0.585787292109874	0.79164570269626
ENSG00000141295.13	350.233817056456	-0.281817673867792	0.149407448410694	-1.88623577248389	0.0592631899588421	0.187079837911953
ENSG00000141298.18	2077.762270729	1.18166457564807	0.164750766526864	7.17243749791832	7.36740544383545e-13	2.53675231887125e-11
ENSG00000141314.12	7.07886756209684	-0.689160933309849	0.893664069198083	-0.77116330068888	0.44061014403967	NA
ENSG00000141337.12	642.745952600432	0.536108431463472	0.122598368232647	4.37288390695489	1.22615935184987e-05	0.000145109975911285
ENSG00000141338.13	4166.34861547955	-5.62172031681244e-05	0.12426323638734	-0.0004524041446409	0.999639033730061	0.999824283708377
ENSG00000141349.8	686.728761363308	0.219200863278392	0.124519825319614	1.7603691839091	0.0783452307713964	0.230162667275519
ENSG00000141367.11	11504.1825155326	0.0323447228675445	0.0829628195639931	0.389870101299962	0.696632603651953	0.860909458968321
ENSG00000141376.22	681.810702975275	0.212657356440018	0.130804157524721	1.62576909223873	0.103998785697387	0.280786653736701
ENSG00000141378.14	199.770293728566	0.214863045286721	0.176190711304872	1.2194913324059	0.222657763656492	0.465129826955747
ENSG00000141380.13	1583.67863164679	0.133426053605347	0.0902437775132127	1.478506965046	0.13927213421129	0.342833170622495
ENSG00000141384.12	68.9241957097613	0.438349318693567	0.292792331248968	1.49713387923684	0.134358425859968	0.334676078943242
ENSG00000141385.9	826.531139802408	0.158702471059944	0.117769679490067	1.3475664682719	0.177797861572436	0.403043811372683
